Title,URL,Index
Trump left countries with high terror risk off his banned list,http://nypost.com/2017/01/28/trump-left-countries-with-high-terror-risk-off-his-banned-list/,76
It’s not Trump’s travel bans that are critical – but what comes next,http://nypost.com/2017/03/06/its-not-trumps-travel-bans-that-are-critical-but-what-comes-next/,77
Iraq hits back with tit-for-tat measure against Trump’s travel ban,http://nypost.com/2017/01/30/iraq-hits-back-with-tit-for-tat-measure-against-trumps-travel-ban/,78
Judge’s blocking of travel ban sets stage for epic court battle,http://nypost.com/2017/02/04/judges-blocking-of-travel-ban-sets-stage-for-epic-court-battle/,79
Trump mocks Schumer for crying over travel ban,http://nypost.com/2017/01/30/trump-mocks-schumer-for-crying-over-travel-ban/,80
Immigrants describe being detained during Trump’s travel ban,http://nypost.com/2017/02/07/immigrants-describe-being-detained-during-trumps-travel-ban/,81
Trump supporters say ‘Bowling Green Massacre’ justifies travel ban,http://nypost.com/2017/02/10/trump-supporters-say-bowling-green-massacre-justifies-travel-ban/,82
A travel ban is too harsh — but Dems need to think of an alternative,http://nypost.com/2017/02/20/a-travel-ban-is-too-harsh-but-dems-need-to-think-of-an-alternative/,83
Kellyanne Conway’s husband: Trump tweets won’t help travel ban pass,http://nypost.com/2017/06/05/kellyanne-conways-husband-trump-tweets-wont-help-travel-ban-pass/,84
Seattle judge blocks immigration ban after Boston judge refused to extend stay,http://nypost.com/2017/02/03/seattle-judge-blocks-immigration-ban-after-boston-judge-refused-to-extend-stay/,85
Trump appealing 9th Circuit Court ruling on his immigration ban,http://nypost.com/2017/02/13/trump-will-appeal-court-ruling-suspending-immigration-ban/,86
All travelers detained under Trump ban have been released,http://nypost.com/2017/01/30/all-travelers-detained-under-trump-ban-have-been-released/,87
Supreme Court allows Trump administration to enforce refugee ban,http://nypost.com/2017/07/19/supreme-court-allows-trump-administration-to-enforce-refugee-ban/,88
Acting AG advises Justice Department not to defend Trump’s ban,http://nypost.com/2017/01/30/justice-department-advised-not-to-defend-trumps-travel-ban/,89
Blocked immigrants in travel ban can reapply for visas: DOJ,http://nypost.com/2017/08/31/blocked-immigrants-in-travel-ban-can-reapply-for-visas-doj/,90
Massive protests at airports across US after Trump’s immigrant ban,http://nypost.com/2017/01/29/massive-protests-erupt-at-airports-across-us-after-trumps-immigrant-ban/,91
US slashes visas issued to visitors from travel-ban countries,http://nypost.com/2017/05/26/us-slashes-number-of-visas-issued-to-visitors-from-travel-ban-countries/,92
Iranian cancer researcher detained under travel ban,http://nypost.com/2017/07/11/iranian-cancer-researcher-detained-under-travel-ban/,93
Trump signs executive order for ‘extreme vetting’ of immigrants,http://nypost.com/2017/01/27/trump-signs-executive-order-for-extreme-vetting-of-immigrants/,94
White House says protests mean travel ban is ‘hugely successful’,http://nypost.com/2017/01/30/white-house-says-protests-mean-travel-ban-is-hugely-successful/,95
At least 12 detained at JFK under travel ban; two are released,http://nypost.com/2017/01/28/iraqi-citizen-detained-at-jfk-under-refugee-ban-is-released/,96
Syrian family reunited at JFK despite travel ban,http://nypost.com/2017/02/03/syrian-family-reunited-at-jfk-despite-travel-ban/,97
A Supreme win for Trump and the rule of law,http://nypost.com/2017/06/26/a-supreme-win-for-trump-and-the-rule-of-law/,98
Syrian grandma at center of travel ban lawsuit arrives in Hawaii,http://nypost.com/2017/08/13/syrian-grandma-at-center-of-travel-ban-lawsuit-arrives-in-hawaii/,99
Hundreds gather at Dallas airport to protest travel ban,http://nypost.com/2017/01/29/hundreds-gather-at-texas-airport-to-protest-travel-ban/,100
State Department reverses Trump’s visa cancellations,http://nypost.com/2017/02/04/state-department-reverses-trumps-visa-ban/,101
Companies warn employees not to travel amid immigration ban,http://nypost.com/2017/01/31/companies-warn-employees-not-to-travel-amid-immigration-ban/,102
Muhammad Ali’s son detained under Trump immigration ban,http://nypost.com/2017/02/24/muhammad-alis-son-detained-under-trump-immigration-ban/,103
Trump signs executive order for ‘extreme vetting’ of immigrants,https://nypost.com/2017/01/27/trump-signs-executive-order-for-extreme-vetting-of-immigrants/,104
Trump stands firm against immigration ban’s critics,http://nypost.com/2017/01/30/trump-stands-firm-in-wake-of-massive-immigration-ban-backlash/,105
Hillary and Kellyanne get into it on Twitter,http://nypost.com/2017/02/10/hillary-clinton-trolls-trump-after-appeals-court-halts-travel-ban/,106
"Mohamed Sanu, a Muslim in Super Bowl: Travel ban is ‘tough’",http://nypost.com/2017/01/31/mohamed-sanu-not-focused-on-tough-situation-of-trump-ban/,107
Jihadis are obsessed with American al Qaeda leader’s old sermon,http://nypost.com/2017/01/31/american-born-al-qaeda-leader-predicted-west-would-turn-on-muslims/?utm_campaign=partnerfeed&utm_medium=syndicated&utm_source=flipboard,108
Visa holders scramble to US before Trump’s ban is reinstated,http://nypost.com/2017/02/05/travelers-scramble-to-us-before-trumps-ban-is-reinstated/,109
Senate Republicans block attempt to overturn Trump’s immigration ban,http://nypost.com/2017/01/30/senate-republicans-block-democratic-attempt-to-overturn-trumps-immigration-ban/,110
De Blasio: Travel ban may be ‘first step towards a Muslim registry’,http://nypost.com/2017/01/29/de-blasio-travel-ban-may-be-first-step-towards-a-muslim-registry/,111
Assad supports Trump’s immigration ban,http://nypost.com/2017/02/16/assad-supports-trumps-immigration-ban/,112
Trump revising executive order on immigration ban,http://nypost.com/2017/02/16/trump-revising-executive-order-on-immigration-ban/,113
31 percent of people say travel ban makes them feel ‘more safe’,http://nypost.com/2017/02/01/31-percent-of-people-say-travel-ban-makes-them-feel-more-safe/,114
US appeals court rules against broad enforcement of travel ban,http://nypost.com/2017/09/07/us-appeals-court-rules-against-broad-enforcement-of-travel-ban/,115
American basketball players stranded in Middle East amid bans,http://nypost.com/2017/01/29/american-basketball-players-stranded-in-middle-east-after-bans/,116
