K,Mean-WC-SSD,STD-WC-SSD
186.0,2532.60928549,195.149606943
187.0,2538.92788524,182.908307046
188.0,2555.19164052,176.673546134
189.0,2440.64469145,217.773971007
190.0,2611.35776269,110.372043112
191.0,2552.54789928,177.465002893
192.0,2500.33930434,211.28540603
193.0,2497.97872944,209.588420795
194.0,2534.99956258,187.074377921
195.0,2491.75703659,209.3364871
196.0,2516.40503353,197.528565596
197.0,2513.25261197,193.533658746
198.0,2572.13993243,154.047531736
199.0,2548.62448442,180.91085967
200.0,2483.89727893,209.956147259
201.0,2510.45002225,200.134408654
202.0,2495.1567016,207.16420514
203.0,2504.69583869,196.634495882
204.0,2534.05361297,181.741585483
205.0,2504.25416676,201.706298171
206.0,2530.5612459,179.199471027
207.0,2499.60359055,200.102203201
208.0,2458.13258147,223.450735385
209.0,2458.0035844,221.662457293
210.0,2499.29772317,202.544864555
211.0,2525.31398008,182.358573923
212.0,2556.25338825,157.704259273
213.0,2478.99299239,211.736747297
214.0,2478.03376997,210.628370436
215.0,2561.70515455,136.474589587
216.0,2545.87972115,155.717411654
217.0,2500.71809866,193.036628411
218.0,2465.25904845,208.361373587
219.0,2557.32742684,141.232832177
220.0,2485.41740033,203.58087331
221.0,2434.85151707,223.127255143
222.0,2527.73733442,174.229315926
223.0,2512.31151642,184.718132596
224.0,2569.61228179,117.812386804
225.0,2554.47413764,143.502494124
226.0,2485.70672664,195.590258954
227.0,2474.56437607,208.382405846
228.0,2483.52032097,197.427302925
229.0,2470.71627198,205.864233046
230.0,2502.37609255,189.774853774
231.0,2458.47887402,202.872241909
232.0,2543.99022092,141.542301117
233.0,2506.15964912,173.7326247
234.0,2539.8873746,142.218389717
235.0,2510.22394699,175.320716728
236.0,2546.60463372,147.029940842
237.0,2535.46212179,141.469000348
238.0,2524.31392471,160.960268539
239.0,2486.4802683,189.119766992
240.0,2511.48557844,155.744503599
241.0,2543.67731015,116.909323743
242.0,2530.1365504,140.388442274
243.0,2458.17626178,195.462542423
244.0,2485.09512651,189.942247667
245.0,2506.82116037,159.48364312
246.0,2470.66823459,188.66516324
247.0,2557.35490693,87.333062779
248.0,2531.29335117,120.039342669
249.0,2547.12904145,87.2109782853
250.0,2465.00564236,208.029638182
251.0,2488.92097931,178.074699116
252.0,2540.72255553,87.8814466492
253.0,2541.31487222,86.3592435206
254.0,2519.98474165,147.284764254
255.0,2543.99353969,86.5581291881
256.0,2521.31234528,115.277753345
257.0,2520.81045096,121.179565914
258.0,2524.21788839,120.539027245
259.0,2509.05230381,145.015048742
260.0,2535.06661333,85.286054584
