K,Mean-WC-SSD,STD-WC-SSD
87.0,2675.50071437,23.082387524
88.0,2670.41293305,20.8337642332
89.0,2671.30883247,22.8518895717
90.0,2672.96573493,27.2430667192
91.0,2665.63172162,19.6704114755
92.0,2665.81626131,22.0240791756
93.0,2669.63615217,21.8742525563
94.0,2658.09447864,21.3126519257
95.0,2661.80165936,22.2182043226
96.0,2656.96299291,20.8644949127
97.0,2657.43041408,21.0023015661
98.0,2653.73144937,18.180851319
99.0,2652.05489571,18.1620731342
100.0,2649.81662021,19.2909581286
101.0,2646.96071432,17.2012948309
102.0,2641.55730903,19.2275951341
103.0,2641.54198043,14.9373923339
104.0,2639.68768149,15.9154276256
105.0,2635.92945038,17.7423052321
106.0,2631.47890663,16.5699560541
107.0,2629.34022225,18.471484834
108.0,2621.84516013,15.52806696
109.0,2621.29612371,13.7658861587
110.0,2619.88049282,14.9265347819
111.0,2617.63560075,15.6452171144
112.0,2614.37469869,14.9722880307
113.0,2611.15519645,15.9238526668
114.0,2610.93568595,15.8508856818
115.0,2604.03290387,14.7871000057
116.0,2604.6943904,16.5071620993
117.0,2599.13876867,14.5486029251
118.0,2597.64256475,14.8617315883
119.0,2597.33717883,16.0034132921
120.0,2592.92500175,15.5013389942
121.0,2587.0829717,14.9730836269
122.0,2587.60731252,18.7564535285
123.0,2586.36451617,13.7282971105
124.0,2585.47282326,17.8177142903
125.0,2582.9707399,17.6938388292
126.0,2576.18293261,14.1721042775
127.0,2572.94232244,14.1829970494
128.0,2572.83905037,20.7219574412
129.0,2568.3053864,16.1185902127
130.0,2568.77216979,13.7648410184
131.0,2566.54540409,16.6956313752
132.0,2565.63302595,15.7218890582
133.0,2559.88373063,17.5771262121
134.0,2556.36842182,16.7707553392
135.0,2552.49125613,14.5504766283
136.0,2553.11207903,14.7474263794
137.0,2554.06686032,15.5652674658
138.0,2547.54319386,17.7372496831
139.0,2548.86049671,16.9222935143
140.0,2544.17229392,16.6609499322
141.0,2540.03110536,13.804430888
142.0,2540.98256108,16.6575245291
143.0,2538.24746645,16.5409881041
144.0,2538.66329121,22.8890366366
145.0,2536.57310088,15.5304158081
146.0,2533.60360699,16.2558968677
147.0,2531.8487985,16.344936408
148.0,2528.48983978,14.8191326265
149.0,2526.99800039,17.7712528607
150.0,2525.75274654,16.8839220135
151.0,2521.34348706,18.1512959182
152.0,2520.49460724,18.1314515063
153.0,2518.20622487,16.4675509665
154.0,2516.1428565,16.2897626912
155.0,2515.18462145,15.8584270896
156.0,2513.59258232,16.4007123689
157.0,2508.63757379,16.7981058377
158.0,2509.80251921,15.8412796137
159.0,2509.61137334,15.0911745627
160.0,2506.49457421,22.8791119568
161.0,2506.91312287,25.0570415634
162.0,2507.40496991,16.9328765256
163.0,2502.48861533,19.4376986817
164.0,2498.07850213,16.6760559591
165.0,2499.29805647,19.788909027
166.0,2496.99355547,17.2545509324
167.0,2495.84641376,17.1779331314
168.0,2491.79408611,19.5121498947
169.0,2490.16436708,17.7329787577
170.0,2489.55999377,18.3201788124
171.0,2491.34583297,19.6834026498
172.0,2488.65570027,15.4128241095
173.0,2484.5604053,18.5798286839
174.0,2481.98572025,18.6428209755
175.0,2482.33946411,17.0848709442
176.0,2482.95003204,18.1743936564
177.0,2478.83786092,22.6266194183
178.0,2473.61336066,18.1531845881
