K,WCSSD-Mean,WCSSD-Std-Dev,Purity,NMI
162,2513.88062951,30.1151355936,0.324951682075,0.257535677711
163,2512.98994227,26.0691505551,0.322579334766,0.257731637619
164,2523.98963429,19.5632511949,0.322045889237,0.253479354751
165,2520.71973442,27.6870502169,0.320454508379,0.254390365526
166,2511.04550696,29.4544875348,0.323806783712,0.251205043045
167,2505.43468251,20.5538369871,0.330010496688,0.251160643434
168,2506.45668726,23.6378725649,0.329502628638,0.251344817862
169,2508.50314218,25.8215928966,0.323437622157,0.249794643005
170,2513.79208052,28.4565115292,0.327635090932,0.254244419698
171,2507.11511685,23.4291059239,0.328008732015,0.258736254363
172,2502.72536259,20.4749651145,0.322176998375,0.257062213162
173,2498.66294582,25.9769372787,0.334729384231,0.258979921695
174,2499.37764563,32.1139289551,0.328690154947,0.253920470739
175,2498.21689283,25.5109521018,0.32840863948,0.257849570078
176,2493.19430622,23.2758991885,0.341374741227,0.251616251061
177,2506.59061535,21.4465586495,0.336531140003,0.262512241867
178,2490.74006034,34.660601114,0.334451599983,0.255823485325
179,2498.91763001,25.9400863884,0.342396178514,0.257138834052
180,2489.93164266,24.831532044,0.339311189829,0.254900101988
181,2492.7602099,24.1845201542,0.331177610537,0.253926843993
182,2482.28955263,28.756048263,0.33303404555,0.254435858624
183,2484.63610478,21.5440473147,0.3347983568,0.254924923374
184,2491.77394538,29.8872474392,0.335485593711,0.253812773116
185,2485.25148166,26.5676448539,0.325169900215,0.251342353203
186,2485.18394792,39.377974342,0.335079760326,0.256262746116
187,2479.61683736,28.2018975576,0.335048452706,0.255402904348
188,2482.29636984,22.8810068701,0.333645426638,0.255284985221
189,2477.22214954,21.8920159356,0.33732343059,0.254009527622
190,2469.19994104,20.0804156744,0.340617078053,0.256844725195
191,2467.80238961,21.3414027346,0.346008669594,0.258358431974
192,2463.96293002,20.6280175621,0.334609071582,0.255126738837
193,2477.75629046,31.4845012807,0.337931326627,0.252838097016
194,2473.21259768,24.796188893,0.336443901696,0.257746942709
195,2466.510273,27.1445452648,0.336490556569,0.253768120422
196,2454.38407831,21.9783914605,0.335594387377,0.252185696491
197,2460.61651365,23.9967859021,0.343462448498,0.263738732419
198,2465.61747808,31.4375650001,0.343187608081,0.255349099317
199,2455.90613295,20.7126748772,0.340820184326,0.257943980136
200,2459.29264699,21.6058409414,0.344749276489,0.259366139108
201,2450.12841987,23.7090852348,0.344774412937,0.259182448878
202,2459.3503184,25.9172969147,0.33896947321,0.252068373916
203,2447.42755483,17.3831512144,0.347482923724,0.25888904214
204,2451.2686806,27.9103441197,0.338930043881,0.25980392337
205,2448.50362358,16.9515838455,0.34107266071,0.257418304474
206,2446.63280205,22.0838140323,0.348572522873,0.251689270176
207,2449.29908024,18.538274116,0.345869132466,0.252196517736
208,2448.68025774,20.2599800413,0.347293652275,0.255912600862
209,2437.94642979,19.5941782026,0.341448581478,0.256632919841
210,2429.36032679,17.5822103351,0.345340059885,0.256115847733
211,2450.29259695,29.0816686781,0.341163113504,0.257397257468
212,2444.58090037,28.0510116313,0.345531745988,0.260339464725
213,2443.11712401,18.8692670234,0.34347195671,0.255960107817
214,2434.25362921,19.1394005205,0.344527031501,0.258791983105
215,2434.79171881,16.9922120122,0.34735691754,0.251353279538
216,2428.83349812,21.5992165297,0.347091949796,0.251619566552
217,2435.92516109,23.3217536143,0.343387468366,0.258412947913
218,2433.39748341,13.7769485582,0.338778982154,0.25874533082
219,2419.67170325,23.9943395639,0.356447893409,0.261010902795
220,2428.34088455,22.6835434321,0.348475127909,0.263053531085
221,2422.82818985,26.050433467,0.349915253444,0.263459075143
222,2416.44554173,23.9941319608,0.350622421807,0.254627963063
223,2425.812524,24.9124367456,0.342278642882,0.265371834432
224,2422.25776293,22.6728581121,0.349308789946,0.266570375293
225,2415.03077366,17.7253748145,0.346775811912,0.2643173704
226,2426.60847645,20.2015974273,0.350958127765,0.255808921241
227,2418.00716528,19.3653658448,0.348951195934,0.256624929734
228,2408.87661022,26.442298268,0.348426530623,0.253635579003
229,2422.55491747,23.2524177015,0.356681798727,0.257320222861
230,2410.19882981,16.9445663725,0.351636670187,0.254607447191
231,2413.30468966,24.0170727344,0.358701692747,0.263115920054
232,2420.19353622,22.6907147141,0.352742964443,0.256733972776
233,2413.03122424,24.6640733373,0.350016774835,0.259324562526
