K,WCSSD-Mean,Purity,NMI,Runs
47,2796.46237905,0.290159485489,0.247428226671,14
48,2799.60348208,0.28163685965,0.260522288236,17
49,2811.66345079,0.257039063348,0.267809652533,12
50,2808.30965279,0.27799659067,0.263340634637,20
51,2802.96472876,0.266761953549,0.262719527157,10
52,2787.66360139,0.284087463386,0.262547430012,17
53,2781.75031748,0.270026583699,0.258994080328,15
54,2790.64607882,0.26503689201,0.248527243352,16
55,2765.42989882,0.27190113731,0.25674081728,13
56,2776.77370335,0.253342832916,0.245118624464,15
57,2765.77384074,0.260577488867,0.253194161773,16
58,2767.94229137,0.271756872931,0.250305508595,16
59,2765.66072781,0.261189260522,0.253067371933,14
60,2757.66122813,0.266934783375,0.253431640529,19
61,2743.31997257,0.277161092308,0.251137513035,13
62,2705.02108276,0.286724835651,0.254189507172,12
63,2747.3336418,0.28259404843,0.257918392628,17
64,2765.21261202,0.275122633087,0.249182889758,14
65,2751.79671396,0.273723016839,0.256535748579,15
66,2746.97109846,0.281544564982,0.260130080245,18
67,2740.54406526,0.284386856175,0.265003952932,16
68,2752.72962643,0.278634514811,0.260320036681,14
69,2735.17443008,0.274841677956,0.261325024832,17
70,2724.25816471,0.282719582903,0.257689279816,14
71,2718.12674022,0.286266337498,0.258322908187,17
72,2713.68409794,0.309318928041,0.256113751467,14
73,2714.63541457,0.289131070963,0.255839836178,16
74,2716.69834256,0.281613544607,0.252888085473,15
75,2696.87458792,0.312114350236,0.249913235143,15
76,2720.4194992,0.283461399614,0.246446990079,15
77,2709.28077532,0.293892694472,0.259125001913,16
78,2716.16493458,0.27535929002,0.260626839291,11
79,2698.27043315,0.283053045771,0.255108584537,16
80,2697.55587075,0.291398735166,0.256279638044,16
81,2685.03891332,0.289911399847,0.250823108551,13
82,2690.98217168,0.289106313849,0.257248971454,18
83,2674.13098757,0.290531829841,0.25488902157,14
84,2684.32846032,0.288541472635,0.264945856113,18
85,2683.76195761,0.283871597661,0.251426502732,13
86,2678.54737192,0.286337648082,0.255727063362,16
87,2667.05423071,0.296574273425,0.250640247817,12
88,2676.62192497,0.286993926556,0.266482697203,18
89,2662.17302712,0.293470722303,0.248663964842,12
90,2668.41614076,0.29487942306,0.250347625155,17
91,2683.23776495,0.29295077394,0.256521843929,19
92,2667.57946725,0.29211336963,0.251781144998,14
93,2670.58954646,0.292220335494,0.256458535575,13
94,2656.37872846,0.300426374817,0.256132607287,20
95,2666.94549427,0.296741684693,0.252224622728,17
96,2665.17894476,0.292103651338,0.259268362777,12
97,2654.01380434,0.29978295077,0.259573791353,14
98,2654.05212218,0.294672527593,0.247638754993,15
99,2633.87791943,0.299940833858,0.252052636228,13
100,2647.49469121,0.299075630588,0.253065768518,19
101,2636.61932152,0.297752325477,0.250738914836,12
102,2649.25543256,0.294172388536,0.255240869802,18
103,2644.26269566,0.302713929466,0.262744329629,19
104,2643.25495743,0.297090959677,0.253885621377,12
105,2632.80551421,0.300368206343,0.248455248709,14
106,2640.82730653,0.303480612095,0.248527646544,14
107,2639.52752324,0.309150348316,0.256970516759,19
108,2628.9291081,0.305842500188,0.252312279387,19
109,2635.9507269,0.295828954959,0.250033854861,7
110,2629.82276131,0.300990284646,0.259299558836,18
111,2623.86986485,0.300231175953,0.257604226343,15
112,2632.60159417,0.304166455148,0.254673779295,13
113,2629.93449465,0.302985893817,0.257289140431,23
114,2613.29867827,0.305666660456,0.264719347819,10
115,2607.33458996,0.308500398319,0.256587729568,19
