K,WCSSD-Mean,WCSSD-Std-Dev,Purity,NMI
70,2722.39104061,27.2631587363,0.411680503865,0.256268778179
71,2716.04882918,45.0833538705,0.40910392213,0.252369294402
72,2715.95394121,74.8156922086,0.453192098483,0.256113751467
73,2720.60261621,32.2451437673,0.41912396221,0.258322908187
74,2724.81014072,34.7501243078,0.41912396221,0.255839836178
75,2688.11909272,73.5802289529,0.458345261952,0.245824878366
76,2723.4157334,41.6076797127,0.414829659319,0.249913235143
77,2701.08904639,25.4106243521,0.425135986258,0.255527092458
78,2726.39133046,26.4411384596,0.408245061552,0.260626839291
79,2704.4800209,22.7684973886,0.421986830804,0.255111396769
80,2693.93858465,24.2146363141,0.421127970226,0.256279638044
81,2694.08088392,23.2148743012,0.422273117664,0.252212148881
82,2688.27152935,26.4057756604,0.419696535929,0.257248971454
83,2674.36652827,36.2602591243,0.418551388491,0.25488902157
84,2689.62399143,29.4876555024,0.428857715431,0.251452497493
85,2682.69721472,27.4540872885,0.41912396221,0.264945856113
86,2687.83476619,21.528776054,0.410249069568,0.251442223668
87,2673.23789557,35.2837585648,0.42399083882,0.255727063362
88,2674.10470067,26.9825353676,0.415402233038,0.266482697203
89,2660.96550103,32.3839220345,0.425708559977,0.250565719023
90,2671.20565885,30.1014847059,0.426853707415,0.250347625155
91,2672.61353539,29.7903951286,0.426281133696,0.24779958014
92,2682.72534513,23.3535790173,0.41912396221,0.256521843929
93,2670.83026595,27.2185018162,0.420555396507,0.250975179716
94,2654.93400611,57.3494974498,0.437446321214,0.256132607287
95,2662.27603415,28.7605418766,0.429716576009,0.256458535575
96,2670.59392663,14.6902765149,0.425708559977,0.259268362777
97,2657.37980855,23.7487643215,0.427998854853,0.252224622728
98,2656.79428121,19.6338301377,0.425994846837,0.259573791353
99,2654.81983618,21.8702788861,0.431720584025,0.252052636228
100,2639.49253956,27.9767087262,0.426853707415,0.249601386184
101,2639.23535733,21.6093684898,0.425994846837,0.253065768518
102,2645.53874248,23.3487244996,0.425135986258,0.255240869802
103,2638.96604552,13.5307820905,0.427998854853,0.25512776445
104,2648.27822805,21.0644243436,0.434010878901,0.262744329629
105,2635.10817399,50.2493213375,0.427139994274,0.251122557731
106,2651.85380279,26.7137566979,0.424849699399,0.252073144801
107,2641.94508438,29.71378815,0.426281133696,0.256970516759
108,2632.11024733,33.6113484648,0.426853707415,0.256779067224
109,2630.54791358,24.0995014344,0.428857715431,0.250769041729
110,2625.83764183,28.0306372103,0.430861723447,0.256615023396
111,2625.14365666,31.4821030116,0.430575436587,0.259299558836
112,2642.85073976,25.4358656262,0.42914400229,0.257604226343
113,2626.33115144,16.4134086756,0.427712567993,0.254673779295
114,2623.14276836,26.059014966,0.425708559977,0.253995828063
115,2626.47947569,29.5506060017,0.436301173776,0.264719347819
116,2605.2061072,22.2234408011,0.425708559977,0.25087876967
117,2610.3596492,20.3844683866,0.435156026338,0.258495412719
118,2602.98034686,25.6791241044,0.430861723447,0.252484477571
119,2603.08253577,27.5262256359,0.431148010306,0.255417943867
120,2606.22432652,21.8609401908,0.427998854853,0.253519195476
121,2603.33121581,33.7456916174,0.43429716576,0.250625168443
122,2600.46441198,29.5520857118,0.43429716576,0.256449318586
123,2613.89261442,29.4013572952,0.438591468652,0.255897478037
124,2602.22416167,29.6830401005,0.447466361294,0.253412768473
125,2600.99510761,17.94096171,0.432579444603,0.255502053684
126,2584.24320516,25.0346963995,0.434010878901,0.252578628883
127,2597.74587589,31.2527665308,0.443744632121,0.255106985317
128,2588.00211501,29.0555705406,0.43429716576,0.247149755183
129,2580.33895762,20.1099351242,0.437732608073,0.254924171368
130,2581.10570118,24.3070998586,0.437446321214,0.254776712861
131,2590.06945979,28.2499904587,0.441454337246,0.255778015889
132,2586.79338132,26.3217775464,0.435728600057,0.255252192739
133,2585.43415241,23.6043066386,0.440881763527,0.252432503795
134,2577.92287737,33.8084867279,0.434010878901,0.255213996366
135,2565.57477581,26.6026768525,0.436301173776,0.254586426635
136,2573.64973314,20.1991225445,0.441454337246,0.255903412558
137,2566.44626758,24.8460695922,0.437732608073,0.254830163093
138,2566.80673794,26.3144168795,0.437446321214,0.253862235721
139,2567.35885326,20.1740295897,0.441168050386,0.253780279007
140,2565.50233172,18.4132812534,0.436587460636,0.248584476752
141,2570.04687061,32.9957978948,0.445462353278,0.25252937965
142,2570.13078081,28.176776674,0.444889779559,0.258504538299
143,2565.19332491,33.1604320638,0.440881763527,0.25552517759
144,2561.30030909,16.1529970936,0.438018894933,0.252364651584
145,2566.80920684,23.781383175,0.446034926997,0.251356241099
146,2547.45599597,21.2121633343,0.44431720584,0.251663027323
147,2559.00805126,30.7312360168,0.442885771543,0.255516936155
148,2538.19380723,23.2824055119,0.438591468652,0.261470079973
149,2539.46618151,24.4767166364,0.443458345262,0.262405875301
150,2536.90221919,20.8394941196,0.44431720584,0.253882172124
151,2545.54679006,19.9657458348,0.441740624105,0.251204853638
152,2530.82766935,24.996430757,0.444030918981,0.251537011333
153,2536.22081651,25.590143396,0.445748640137,0.256517020182
154,2541.17765851,25.6145036044,0.453192098483,0.248608194178
155,2534.01206976,25.5547873605,0.438305181792,0.251572552074
